Word,Letter
Alfa,A
Bravo,B
Charlie,C
Delta,D
Echo,E
Foxtrot,F
Golf,G
Hotel,H
India,I
Juliet,J
Kilo,K
Lima,L
Mike,M
November,N
Oscar,O
Papa,P
Quebec,Q
Romeo,R
Sierra,S
Tango,T
Uniform,U
Victor,V
Whiskey,W
X-Ray,X
Yankee,Y
Zulu,Z
Stop it please,Stop
