SD0BGFo1,SD0BGSoco2,SD0BGSco3,SD0BGSoco4,SD0BGSoco5,SD0BGSoco6,SD0BGSco7,SD0Fo1,SD0Fo2,SD0Fo3,SD0Fo4,SD0Fo5,SD0Fo6,SD1Fp1,SD1Fp2,SD1Fp3,SD1Fn1,SD1Fn2,SD1Fn3,SD2Fp1,SD2Fp2,SD2Fp3,SD2Fn1,SD2Fn2,SD2Fn3,SD3Fp1,SD3Fp2,SD3Fp3,SD3Fn1,SD3Fn2,SD3Fn3,SD4Fp1,SD4Fp2,SD4Fp3,SD4Fn1,SD4Fn2,SD4Fn3,SD5Fn1,SD5Fn2,SD5Fn3,SD5Fn4,SD5Fn5,SD0Sco1,SD0Sco2,SD0Sco3,SD0Sco4,SD0Sco5,SD0Sco6,SD1Scp1,SD1Scp2,SD1Scp3,SD1Scn1,SD1Scn2,SD1Scn3,SD2Scp1,SD2Scp2,SD2Scp3,SD2Scn1,SD2Scn2,SD2Scn3,SD3Scp1,SD3Scp2,SD3Scp3,SD3Scn1,SD3Scn2,SD3Scn3,SD4Scp1,SD4Scp2,SD4Scp3,SD4Scn1,SD4Scn2,SD4Scn3,SD5Scn1,SD5Scn2,SD5Scn3,SD5Scn4,SD5Scn5,SD0Soco1,SD0Soco2,SD0Soco3,SD0Soco4,SD0Soco5,SD0Soco6,SD1Socp1,SD1Socp2,SD1Socp3,SD1Socn1,SD1Socn2,SD1Socn3,SD2Socp1,SD2Socp2,SD2Socp3,SD2Socn1,SD2Socn2,SD2Socn3,SD3Socp1,SD3Socp2,SD3Socp3,SD3Socn1,SD3Socn2,SD3Socn3,SD4Socp1,SD4Socp2,SD4Socp3,SD4Socn1,SD4Socn2,SD4Socn3,SD5Socn1,SD5Socn2,SD5Socn3,SD5Socn4,SD5Socn5,SD0Spo1,SD0Spo2,SD0Spo3,SD0Spo4,SD0Spo5,SD0Spo6,SD1Spp1,SD1Spp2,SD1Spp3,SD1Spn1,SD1Spn2,SD1Spn3,SD2Spp1,SD2Spp2,SD2Spp3,SD2Spn1,SD2Spn2,SD2Spn3,SD3Spp1,SD3Spp2,SD3Spp3,SD3Spn1,SD3Spn2,SD3Spn3,SD4Spp1,SD4Spp2,SD4Spp3,SD4Spn1,SD4Spn2,SD4Spn3,SD5Spn1,SD5Spn2,SD5Spn3,SD5Spn4,SD5Spn5
P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY1,CY2,CY3,CY4,CY5,CY6,CY7,CY8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN1,CN2,CN3,CN4,CN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
